seed,level_pct,arm,n_subset,n_static,fleet_mean_tt,fleet_p50_tt,fleet_p90_tt,fleet_p95_p50,fleet_completion,fleet_deadline_misses,fleet_unfinished,subset_mean_tt,subset_completion,static_mean_tt,static_completion,strsumo_avg_tt,strsumo_completion,strsumo_deadlines,strsumo_timeout_rate,step_limit_reached,route_choice_nonzero_rate,wall_seconds
4017,10,dijkstra,45,405,538.856,462.0,1121.1,2.624,1.0,248,0,578.822,1.0,534.415,1.0,578.822,1.0,29,0.0,0,,2.6
4012,25,mappo_off,112,338,578.751,522.5,1136.1,2.317,1.0,259,0,847.652,1.0,489.648,1.0,847.652,1.0,86,0.0,0,0.6185,9.0
4012,75,mappo_on,338,112,705.413,688.5,1290.3,2.019,1.0,306,0,704.556,1.0,708.0,1.0,704.556,1.0,226,0.0,0,0.0,19.7
4027,50,mappo_off,225,225,816.862,776.0,1578.0,2.1485,1.0,285,0,987.898,1.0,645.827,1.0,987.898,1.0,166,0.0,0,0.6285,19.3
4028,50,mappo_off,225,225,713.633,688.0,1359.3,2.0581,1.0,285,0,755.591,1.0,671.676,1.0,755.591,1.0,149,0.0,0,0.5043,14.1
4026,10,mappo_off,45,405,478.911,418.0,966.2,2.5359,1.0,227,0,422.756,1.0,485.151,1.0,422.756,1.0,20,0.0,0,0.6102,4.3
4017,100,mappo_off,450,0,360.824,311.0,696.2,2.4526,1.0,151,0,360.824,1.0,,,360.824,1.0,154,0.0,0,0.517,11.6
4028,10,mappo_off,45,405,652.671,594.5,1257.8,2.3291,1.0,284,0,696.667,1.0,647.783,1.0,696.667,1.0,32,0.0,0,0.5329,5.8
4015,25,mappo_on,112,338,543.173,527.0,1014.1,2.1415,1.0,260,0,545.384,1.0,542.441,1.0,545.384,1.0,64,0.0,0,0.0,7.3
4013,50,mappo_off,225,225,604.331,586.5,1152.0,2.1621,1.0,268,0,680.511,1.0,528.151,1.0,680.511,1.0,141,0.0,0,0.5528,12.9
4011,100,mappo_on,450,0,713.511,721.0,1358.5,2.0001,1.0,284,0,713.511,1.0,,,713.511,1.0,285,0.0,0,0.0,25.1
4022,10,mappo_off,45,405,548.367,495.0,1062.0,2.2781,1.0,249,0,558.022,1.0,547.294,1.0,558.022,1.0,23,0.0,0,0.6573,4.7
4028,75,mappo_on,338,112,689.478,648.5,1322.1,2.1605,1.0,282,0,703.734,1.0,646.455,1.0,703.734,1.0,210,0.0,0,0.0,16.9
4011,75,mappo_on,338,112,731.311,718.5,1398.4,2.0306,1.0,291,0,738.497,1.0,709.625,1.0,738.497,1.0,211,0.0,0,0.0,19.7
4012,75,dijkstra,338,112,1261.958,1430.5,1971.0,1.4258,1.0,399,0,1277.725,1.0,1214.375,1.0,1277.74,1.0,296,0.0,0,,8.7
4026,75,mappo_on,338,112,510.256,474.5,1074.1,2.4027,1.0,231,0,517.497,1.0,488.402,1.0,517.497,1.0,176,0.0,0,0.0,14.5
4023,75,mappo_on,338,112,551.411,473.5,1108.3,2.5307,1.0,249,0,553.737,1.0,544.393,1.0,553.737,1.0,182,0.0,0,0.0,15.0
4012,10,mappo_on,45,405,1126.18,1254.5,1796.4,1.4927,1.0,385,0,1198.756,1.0,1118.116,1.0,1198.778,1.0,39,0.0,0,0.0,7.5
4018,100,mappo_off,450,0,329.122,319.0,620.2,2.1259,1.0,146,0,329.122,1.0,,,329.122,1.0,146,0.0,0,0.4554,11.2
4016,75,mappo_off,338,112,253.516,247.0,442.0,2.0729,1.0,83,0,276.746,1.0,183.411,1.0,276.746,1.0,78,0.0,0,0.4211,8.0
4028,10,dijkstra,45,405,655.0,601.0,1251.2,2.3022,1.0,287,0,685.933,1.0,651.563,1.0,685.933,1.0,30,0.0,0,,3.2
4026,50,mappo_off,225,225,439.438,409.5,862.5,2.3081,1.0,188,0,473.089,1.0,405.787,1.0,473.089,1.0,104,0.0,0,0.567,9.9
4023,50,mappo_on,225,225,552.391,500.0,1126.0,2.3591,1.0,254,0,563.471,1.0,541.311,1.0,563.471,1.0,128,0.0,0,0.0,12.3
4021,75,dijkstra,338,112,489.487,392.0,1014.0,2.8486,1.0,221,0,476.219,1.0,529.527,1.0,476.219,1.0,158,0.0,0,,5.8
4022,50,dijkstra,225,225,571.127,497.0,1122.2,2.4656,1.0,252,0,584.613,1.0,557.64,1.0,584.613,1.0,129,0.0,0,,4.3
4018,25,mappo_off,112,338,334.536,219.0,732.1,3.5164,1.0,160,0,434.857,1.0,301.293,1.0,434.857,1.0,57,0.0,0,0.5217,5.2
4029,25,dijkstra,112,338,332.069,329.0,568.0,1.8071,1.0,132,0,318.446,1.0,336.583,1.0,318.446,1.0,32,0.0,0,,2.4
4014,25,mappo_off,112,338,279.34,248.5,525.2,2.3362,1.0,86,0,398.062,1.0,240.0,1.0,398.062,1.0,47,0.0,0,0.6585,5.4
4020,50,mappo_off,225,225,273.049,224.5,523.2,2.6724,1.0,88,0,343.933,1.0,202.164,1.0,343.933,1.0,67,0.0,0,0.4892,7.2
4017,100,dijkstra,450,0,570.727,532.5,1149.3,2.266,1.0,246,0,570.727,1.0,,,570.727,1.0,248,0.0,0,,7.9
4024,50,dijkstra,225,225,739.007,706.5,1414.3,2.0849,1.0,289,0,757.471,1.0,720.542,1.0,757.471,1.0,149,0.0,0,,6.8
4019,75,dijkstra,338,112,332.391,295.0,664.1,2.5137,1.0,140,0,335.038,1.0,324.402,1.0,335.038,1.0,107,0.0,0,,3.9
4024,100,mappo_on,450,0,701.542,674.5,1329.4,2.0647,1.0,278,0,701.542,1.0,,,701.542,1.0,278,0.0,0,0.0,23.9
4014,75,mappo_on,338,112,277.373,259.0,500.0,2.0193,1.0,90,0,271.879,1.0,293.955,1.0,271.879,1.0,69,0.0,0,0.0,7.6
