seed,level_pct,arm,n_subset,n_static,fleet_mean_tt,fleet_p50_tt,fleet_p90_tt,fleet_p95_p50,fleet_completion,fleet_deadline_misses,fleet_unfinished,subset_mean_tt,subset_completion,static_mean_tt,static_completion,strsumo_avg_tt,strsumo_completion,strsumo_deadlines,strsumo_timeout_rate,step_limit_reached,route_choice_nonzero_rate,wall_seconds
4013,50,mappo_on,225,225,588.369,570.0,1131.5,2.1053,1.0,262,0,622.516,1.0,554.222,1.0,622.516,1.0,133,0.0,0,0.4354,14.5
4012,25,dijkstra,112,338,1268.433,1457.5,1994.1,1.4161,1.0,392,0,1331.607,1.0,1247.5,1.0,1331.643,1.0,96,0.0,0,,5.6
4029,100,mappo_off,450,0,295.973,247.0,596.3,2.6099,1.0,102,0,295.973,1.0,,,295.973,1.0,102,0.0,0,0.3119,11.8
4021,25,mappo_off,112,338,442.567,370.0,921.0,2.5991,1.0,187,0,439.384,1.0,443.621,1.0,439.384,1.0,44,0.0,0,0.4843,7.5
4019,25,mappo_on,112,338,336.367,302.5,626.2,2.3357,1.0,150,0,415.214,1.0,310.24,1.0,415.214,1.0,53,0.0,0,0.4889,5.5
4021,10,dijkstra,45,405,486.16,419.0,1026.1,2.6796,1.0,210,0,408.822,1.0,494.753,1.0,408.822,1.0,13,0.0,0,,2.8
4010,50,dijkstra,225,225,917.289,962.0,1576.2,1.7257,1.0,344,0,921.978,1.0,912.6,1.0,921.978,1.0,166,0.0,0,,8.3
4011,50,dijkstra,225,225,716.733,720.0,1376.4,2.0125,1.0,275,0,720.702,1.0,712.764,1.0,720.702,1.0,135,0.0,0,,7.9
4024,100,dijkstra,450,0,758.313,729.0,1409.8,2.0497,1.0,290,0,758.313,1.0,,,758.313,1.0,290,0.0,0,,12.5
4010,25,mappo_off,112,338,1401.704,1493.5,2075.2,1.434,1.0,411,0,1366.152,1.0,1413.485,1.0,1366.152,1.0,98,0.0,0,0.4421,16.6
4025,75,dijkstra,338,112,612.858,588.0,1188.2,2.2033,1.0,226,0,618.612,1.0,595.491,1.0,618.612,1.0,172,0.0,0,,11.2
4011,25,dijkstra,112,338,694.78,696.0,1308.3,2.0367,1.0,278,0,669.777,1.0,703.065,1.0,669.777,1.0,62,0.0,0,,5.3
4013,10,mappo_on,45,405,554.84,524.0,1148.1,2.2644,1.0,252,0,634.356,1.0,546.005,1.0,634.356,1.0,26,0.0,0,0.5203,5.4
4016,50,mappo_off,225,225,203.102,197.0,364.0,2.0383,1.0,43,0,233.329,1.0,172.876,1.0,233.329,1.0,34,0.0,0,0.3464,5.4
4019,100,mappo_off,450,0,332.536,302.5,627.1,2.2468,1.0,149,0,332.536,1.0,,,332.536,1.0,150,0.0,0,0.4029,11.0
4017,50,mappo_on,225,225,411.133,381.0,849.2,2.3033,1.0,191,0,371.893,1.0,450.373,1.0,371.893,1.0,77,0.0,0,0.4444,8.3
4014,100,dijkstra,450,0,270.133,259.0,470.2,1.9931,1.0,81,0,270.133,1.0,,,270.133,1.0,81,0.0,0,,4.6
4014,25,mappo_off,112,338,295.682,302.0,502.1,1.7586,1.0,97,0,321.652,1.0,287.077,1.0,321.652,1.0,33,0.0,0,0.6037,4.6
4028,50,mappo_off,225,225,687.073,649.5,1290.0,2.1264,1.0,284,0,719.671,1.0,654.476,1.0,719.671,1.0,144,0.0,0,0.4562,13.3
4024,25,dijkstra,112,338,715.704,669.0,1375.3,2.1961,1.0,282,0,726.554,1.0,712.109,1.0,726.554,1.0,73,0.0,0,,5.1
4028,10,mappo_off,45,405,727.482,658.5,1353.5,2.2013,1.0,312,0,792.156,1.0,720.296,1.0,792.156,1.0,33,0.0,0,0.45,5.8
4021,75,mappo_on,338,112,408.529,352.0,829.0,2.4918,1.0,180,0,397.503,1.0,441.804,1.0,397.503,1.0,126,0.0,0,0.3687,12.4
4010,75,mappo_off,338,112,1054.887,1120.5,1685.1,1.5677,1.0,373,0,1083.935,1.0,967.223,1.0,1083.938,1.0,274,0.0,0,0.488,22.4
4026,100,mappo_off,450,0,440.118,420.5,850.1,2.1337,1.0,191,0,440.118,1.0,,,440.118,1.0,193,0.0,0,0.4017,16.3
4025,50,mappo_on,225,225,560.762,544.0,1024.4,2.0102,1.0,221,0,546.031,1.0,575.493,1.0,546.031,1.0,99,0.0,0,0.2834,9.9
4023,100,mappo_off,450,0,552.722,513.5,1037.5,2.2176,1.0,252,0,552.722,1.0,,,552.722,1.0,253,0.0,0,0.4421,20.6
