checkpoint,seed,sample_idx,avg_travel_time,p50_travel_time,p90_travel_time,completion_rate,route_choice_nonzero_rate,baseline_avg_travel_time,baseline_p90_travel_time,greedy_ep74_avg_travel_time,greedy_ep74_p90_travel_time
ep74_best,6024,2,301.4111111111111,304.0,532.7000000000002,1.0,0.4101174345076784,255.26666666666668,439.5000000000001,263.7,462.20000000000005
ep74_best,6025,0,330.7266666666667,311.0,635.3000000000001,1.0,0.38981562774363476,341.8933333333333,760.4000000000001,292.9288888888889,549.1
ep74_best,6025,1,340.11555555555555,336.0,620.3000000000001,1.0,0.377560106856634,341.8933333333333,760.4000000000001,292.9288888888889,549.1
ep74_best,6025,2,314.5755555555556,288.5,609.1,1.0,0.38748913987836664,341.8933333333333,760.4000000000001,292.9288888888889,549.1
ep74_best,6026,0,469.18444444444447,449.0,865.1,1.0,0.4623200677392041,685.4355555555555,1307.5,439.5777777777778,812.2
ep74_best,6026,1,481.5466666666667,474.0,851.4000000000001,1.0,0.4642857142857143,685.4355555555555,1307.5,439.5777777777778,812.2
ep74_best,6026,2,488.91777777777776,461.0,904.1,1.0,0.44596912521440824,685.4355555555555,1307.5,439.5777777777778,812.2
ep74_best,6027,0,327.38666666666666,328.0,610.2,1.0,0.36462093862815886,331.9244444444444,675.1,314.06666666666666,587.1
ep74_best,6027,1,335.43111111111114,323.5,612.0,1.0,0.379746835443038,331.9244444444444,675.1,314.06666666666666,587.1
ep74_best,6027,2,316.72444444444443,286.5,590.3000000000001,1.0,0.3598173515981735,331.9244444444444,675.1,314.06666666666666,587.1
ep74_best,6028,0,371.0,320.5,727.1,1.0,0.4606116774791474,502.3888888888889,1032.6000000000001,335.8066666666667,648.3000000000001
ep74_best,6028,1,373.81555555555553,334.0,741.3000000000001,1.0,0.4308145240431796,502.3888888888889,1032.6000000000001,335.8066666666667,648.3000000000001
ep74_best,6028,2,365.62888888888887,325.5,707.2,1.0,0.4281524926686217,502.3888888888889,1032.6000000000001,335.8066666666667,648.3000000000001
ep74_best,6029,0,305.96666666666664,283.0,570.5000000000001,1.0,0.36154478225143794,286.4688888888889,496.0,296.38444444444445,563.3000000000001
ep74_best,6029,1,333.4288888888889,301.5,619.3000000000001,1.0,0.36674622116149563,286.4688888888889,496.0,296.38444444444445,563.3000000000001
ep74_best,6029,2,313.79777777777775,267.0,595.0,1.0,0.38326693227091635,286.4688888888889,496.0,296.38444444444445,563.3000000000001
ep149_final,6000,0,416.3066666666667,377.0,803.0,1.0,0.44958677685950416,536.0933333333334,1082.7000000000003,396.64,750.3000000000001
ep149_final,6000,1,397.62444444444446,375.0,773.1,1.0,0.4773988897700238,536.0933333333334,1082.7000000000003,396.64,750.3000000000001
ep149_final,6000,2,404.8955555555556,378.0,787.1,1.0,0.4741100323624595,536.0933333333334,1082.7000000000003,396.64,750.3000000000001
ep149_final,6001,0,635.8511111111111,647.0,1144.1,1.0,0.5,1398.0511111111111,2093.5,684.9733333333334,1211.2
ep149_final,6001,1,654.0866666666667,664.0,1160.9,1.0,0.5196592398427261,1398.0511111111111,2093.5,684.9733333333334,1211.2
ep149_final,6001,2,662.74,665.5,1161.1,1.0,0.5155320555188367,1398.0511111111111,2093.5,684.9733333333334,1211.2
